,comment,time
0,"Everything is good and smooth. Good Camera specially the 5MP macro is very good for the price, Good Battery easily lasts a day, comes with 33Watt charger, Display is good, Supports 120Hz, Display quality is good, only thing better could have been AMOLED. Got it for 14.5K with discounts and offer. Best value for money.",Reviewed in India on 4 April 2021
1,Good working but some time phone is hanging from the very first,Reviewed in India on 23 August 2021
2,"Everything is good and smooth. Good Camera specially the 5MP macro is very good for the price, Good Battery easily lasts a day, comes with 33Watt charger, Display is good, Supports 120Hz, Display quality is good, only thing better could have been AMOLED. Got it for 14.5K with discounts and offer. Best value for money.",Reviewed in India on 4 April 2021
3,Good working but some time phone is hanging from the very first,Reviewed in India on 23 August 2021
4,I won't recomment.,"Reviewed in India on February 6, 2023"
5,"If you r comfortable with 4g mobile handset
This is best option for everyone under 20k budget","Reviewed in India on February 4, 2023"
6,I like it,"Reviewed in India on February 1, 2023"
7,"I'm writing this after a year, it was working fine with Lil heat issues and battery draining. Recently the camera stopped working after their latest software update, Xiaomi service center said Motherboard issue and asked me 12k. I was using it without camera for a month and suddenly 1 day the phone died. Redmi products works only for a year. Don't buy","Reviewed in India on January 29, 2023"
8,Customer care is very bad about replace item bad experience,"Reviewed in India on January 23, 2023"
9,"This phone has front camera problem and even REDMI has accepted. My mobile's front camera stopped working completely after warranty period and now service centre is asking Rs 12000 for the repair.
Apart from this phone is good.","Reviewed in India on January 17, 2023"
10,"Every thing was fine and on one fine day front camera was not working and realised the warranty is just over.

Due to processor issue now phone is a waste just after one year of purchase.","Reviewed in India on January 17, 2023"
11,After 1 year of smooth working it suddenly switched off and never power on 😡,"Reviewed in India on January 16, 2023"
12,"Everything is good and smooth. Good Camera specially the 5MP macro is very good for the price, Good Battery easily lasts a day, comes with 33Watt charger, Display is good, Supports 120Hz, Display quality is good, only thing better could have been AMOLED. Got it for 14.5K with discounts and offer. Best value for money.",Reviewed in India on 4 April 2021
13,Good working but some time phone is hanging from the very first,Reviewed in India on 23 August 2021
14,I won't recomment.,"Reviewed in India on February 6, 2023"
15,"If you r comfortable with 4g mobile handset
This is best option for everyone under 20k budget","Reviewed in India on February 4, 2023"
16,I like it,"Reviewed in India on February 1, 2023"
17,"Please don't buy redmi phones.
They are removing all after software update
like fingerprint, cameras and displays damages.😐😐
Very disappointed with this phone.
The worst phone I have ever used.
I have many brand phones but the worst brand is redmi 🙃.
The feedback is very poor
I am not satisfied with this 😔😐.",Reviewed in India on 4 April 2021
18,Nice Camera. Nice Design. Nice Colour. Nice Finish. Sound system very good. Super Phone.,Reviewed in India on 23 August 2021
19,Paise West,"Reviewed in India on January 14, 2023"
20,"Good Mobile working fast, but bugs will irritate you. Camera is good but some time not perfect","Reviewed in India on January 14, 2023"
