,word
0,battery
1,lasted
2,days
3,without
4,chargeif
5,want
6,use
7,charging
8,need
9,leave
10,wireless
11,module
12,connected
13,charge
14,even
15,charge
16,external
17,adaptor
18,uselighting
19,decent
20,worth
21,buying
22,mouse
23,overall
24,good
25,battery
26,still
27,great
28,usp
29,charge
30,four
31,hour
32,use
33,like
34,days
35,highest
36,dpi
37,one
38,major
39,weaknesss
40,scroll
41,button
42,mouse
43,showing
44,irritable
45,behaviour
46,operation
47,cant
48,even
49,scross
50,properly
51,using
52,months
53,mouse
54,started
55,showing
56,lags
57,errors
58,loved
59,product
60,two
61,half
62,weeks
63,since
64,bought
65,using
66,mouse
67,didnt
68,charge
69,yet
70,battery
71,didnt
72,go
73,worth
74,money
75,put
76,comfortable
77,budget
78,go
79,using
80,past
81,days
82,sensor
83,malfunctioning
84,working
85,good
86,bought
87,mouse
88,months
89,ago
90,worked
91,pretty
92,well
93,week
94,stopped
95,working
96,completely
97,even
98,trying
99,charge
100,multiple
101,times
102,stops
103,working
104,properly
105,days
106,pointer
107,goes
108,every
109,minutes
110,whether
111,use
112,continuously
113,hence
114,able
115,work
116,mouse
117,purchased
118,years
119,back
120,also
121,working
122,think
123,fault
124,products
125,got
126,broke
127,two
128,days
129,buy
130,item
131,damaged
132,automatically
133,rgb
134,destroyed
135,moving
136,cursorso
137,kindly
138,take
139,product
140,bac
141,battery
142,lasted
143,days
144,without
145,chargeif
146,want
147,use
148,charging
149,need
150,leave
151,wireless
152,module
153,connected
154,charge
155,even
156,charge
157,external
158,adaptor
159,uselighting
160,decent
161,worth
162,buying
163,using
164,gaming
165,good
166,perfect
167,gaming
168,kid
169,liked
170,using
171,months
172,mouse
173,started
174,showing
175,lags
176,errors
177,loved
178,product
179,two
180,half
181,weeks
182,since
183,bought
184,using
185,mouse
186,didnt
187,charge
188,yet
189,battery
190,didnt
191,go
192,worth
193,money
194,put
195,comfortable
196,budget
197,go
198,using
199,past
200,days
201,sensor
202,malfunctioning
203,working
204,good
205,bought
206,mouse
207,months
208,ago
209,worked
210,pretty
211,well
212,week
213,stopped
214,working
215,completely
216,even
217,trying
218,charge
219,multiple
220,times
221,stops
222,working
223,properly
224,days
225,pointer
226,goes
227,every
228,minutes
229,whether
230,use
231,continuously
232,hence
233,able
234,work
235,mouse
236,purchased
237,years
238,back
239,also
240,working
241,think
242,fault
243,products
244,got
245,broke
246,two
247,days
248,buy
249,item
250,damaged
251,automatically
252,rgb
253,destroyed
254,moving
255,cursorso
256,kindly
257,take
258,product
259,bac
260,battery
261,lasted
262,days
263,without
264,chargeif
265,want
266,use
267,charging
268,need
269,leave
270,wireless
271,module
272,connected
273,charge
274,even
275,charge
276,external
277,adaptor
278,uselighting
279,decent
280,worth
281,buying
282,using
283,gaming
284,good
285,comfortable
286,working
287,issue
288,one
289,half
290,month
291,scroll
292,wheel
293,loose
294,cant
295,use
296,properly
297,thats
298,thing
299,good
300,price
301,received
302,product
303,mouse
304,scroll
305,working
306,fine
307,next
308,day
309,scroll
310,worked
311,difficult
312,operate
313,clicking
314,left
315,button
316,properly
317,working
318,totally
319,fake
320,product
321,please
322,waste
323,money
324,buying
325,cheap
326,product
327,especially
328,vendorthe
329,vendor
330,dispatched
331,product
332,without
333,quality
334,check
335,sell
336,faulty
337,products
338,buyer
339,good
340,work
341,properly
342,teturn
343,product
344,mouse
345,overall
346,good
347,battery
348,still
349,great
350,usp
351,charge
352,four
353,hour
354,use
355,like
356,days
357,highest
358,dpi
359,one
360,major
361,weaknesss
362,scroll
363,button
364,mouse
365,showing
366,irritable
367,behaviour
368,operation
369,cant
370,even
371,scross
372,properly
373,lighting
374,improved
375,one
376,button
377,top
378,working
379,good
380,gaming
381,used
382,normal
383,used
384,mouse
385,forward
386,reversed
387,key
388,work
389,properly
390,sound
391,comfortable
