,word,frequency,positive_count
0,actually,3.0,0.0
1,getting,4.0,0.0
2,logitech,4.0,0.0
3,g,6.0,0.0
4,pro,3.0,0.0
5,price,4.0,0.0
6,good,18.0,5.0
7,producted,3.0,3.0
8,late,3.0,3.0
9,model,4.0,3.0
10,mouse,18.0,5.0
11,wireless,9.0,5.0
12,superb,3.0,3.0
13,using,8.0,5.0
14,well,6.0,5.0
15,thought,3.0,2.0
16,mouseboth,2.0,2.0
17,left,2.0,2.0
18,right,4.0,2.0
19,handersim,2.0,2.0
20,play,4.0,2.0
21,csgo,3.0,2.0
22,love,4.0,4.0
23,itused,2.0,2.0
24,pretty,3.0,2.0
25,lightweight,2.0,2.0
26,honeycomb,3.0,2.0
27,wired,3.0,2.0
28,mouses,3.0,2.0
29,b,2.0,2.0
30,par,2.0,2.0
31,video,2.0,0.0
32,working,6.0,0.0
33,great,2.0,0.0
34,first,3.0,0.0
35,months,2.0,0.0
36,noticed,2.0,0.0
37,scrolling,2.0,0.0
38,issues,2.0,0.0
39,waited,2.0,0.0
40,month,2.0,0.0
41,see,2.0,0.0
42,laptop,2.0,0.0
43,issue,4.0,0.0
44,checked,4.0,0.0
45,multiple,2.0,0.0
46,laptops,2.0,0.0
47,desktops,2.0,0.0
48,realised,2.0,0.0
49,scroll,5.0,0.0
50,wasnt,2.0,0.0
51,properly,2.0,0.0
52,sent,4.0,0.0
53,product,6.0,0.0
54,rma,2.0,0.0
55,quite,2.0,0.0
56,fast,3.0,0.0
57,said,2.0,0.0
58,didnt,2.0,0.0
59,find,2.0,0.0
60,back,2.0,0.0
61,stuck,2.0,0.0
62,whose,2.0,0.0
63,isnt,2.0,0.0
64,hasnt,2.0,0.0
65,even,2.0,0.0
66,year,3.0,0.0
67,yet,2.0,0.0
68,go,5.0,0.0
69,risk,2.0,0.0
70,cosmic,3.0,0.0
71,byte,3.0,0.0
72,warranty,2.0,0.0
73,support,2.0,0.0
74,garbage,2.0,0.0
75,know,1.0,0.0
76,miniscule,1.0,0.0
77,details,1.0,0.0
78,doesnt,1.0,0.0
79,normal,1.0,0.0
80,day,1.0,0.0
81,work,1.0,0.0
82,ocassional,1.0,0.0
83,gaming,4.0,0.0
84,fine,1.0,0.0
85,durability,1.0,0.0
86,cant,1.0,0.0
87,comment,1.0,0.0
88,havent,1.0,0.0
89,used,1.0,0.0
90,much,3.0,0.0
91,build,1.0,0.0
92,quality,3.0,0.0
93,plastic,1.0,0.0
94,feels,1.0,0.0
95,light,2.0,0.0
96,weight,1.0,0.0
97,way,1.0,0.0
98,wouldnt,1.0,0.0
99,wanna,1.0,0.0
100,drop,1.0,0.0
101,tho,1.0,0.0
102,led,1.0,0.0
103,customisation,1.0,0.0
104,app,1.0,0.0
105,download,1.0,0.0
106,website,1.0,0.0
107,wheel,1.0,0.0
108,logo,1.0,0.0
109,color,1.0,0.0
110,change,1.0,0.0
111,dpi,3.0,0.0
112,mode,2.0,0.0
113,thats,2.0,0.0
114,minus,1.0,0.0
115,point,1.0,0.0
